attribute_name,source_system,priority,status,description
nik,CRM,1,ACTIVE,CRM is the system of record for national id
nik,LOS,2,ACTIVE,
nik,MOBILE,3,ACTIVE,
full_name,CRM,1,ACTIVE,CRM names are keyed from onboarding documents
full_name,LOS,2,ACTIVE,
full_name,MOBILE,3,ACTIVE,
phone,MOBILE,1,ACTIVE,the mobile app verifies the number it registers
phone,CRM,2,ACTIVE,
phone,LOS,3,ACTIVE,
email,CRM,1,ACTIVE,
email,MOBILE,2,ACTIVE,
email,LOS,3,ACTIVE,
birth_date,LOS,1,ACTIVE,loan origination captures date of birth from the id document
birth_date,CRM,2,ACTIVE,
birth_date,MOBILE,3,ACTIVE,
